R10710	2.1.1.295	2-methyl-6-phytyl-1,4-hydroquinone methyltransferase	2.1.1
R10712	2.5.1.3	thiamine phosphate synthase	2.5.1
R10715	1.1.1.6	glycerol dehydrogenase	1.1.1
R10716	2.1.1.182	16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase	2.1.1
R10716	2.1.1.183	18S rRNA (adenine1779-N6/adenine1780-N6)-dimethyltransferase	2.1.1
R10716	2.1.1.184	23S rRNA (adenine2085-N6)-dimethyltransferase	2.1.1
R10717	1.1.1.6	glycerol dehydrogenase	1.1.1
R10718	1.1.1.-		1.1.1
R10719	1.1.1.373	sulfolactaldehyde 3-reductase	1.1.1
R10720	1.10.3.15	grixazone synthase	1.10.3
R10721	1.11.2.5	3-methyl-L-tyrosine peroxygenase	1.11.2
R10722	1.13.11.78	2-amino-1-hydroxyethylphosphonate dioxygenase (glycine-forming)	1.13.11
R10723	1.14.11.45	L-isoleucine 4-hydroxylase	1.14.11
R10724	1.14.11.46	2-aminoethylphosphonate dioxygenase	1.14.11
R10725	1.14.13.189	5-methyl-1-naphthoate 3-hydroxylase	1.14.13
R10726	4.2.3.80	alpha-longipinene synthase	4.2.3
R10729	1.14.16.7	phenylalanine 3-monooxygenase	1.14.16
R10730	1.5.1.48	2-methyl-1-pyrroline reductase	1.5.1
R10732	4.2.3.81	exo-alpha-bergamotene synthase	4.2.3
R10733	4.2.3.82	alpha-santalene synthase	4.2.3
R10734	4.2.3.83	beta-santalene synthase	4.2.3
R10735	1.14.20.-		1.14.20
R10737	2.1.1.-		2.1.1
R10738	2.1.1.-		2.1.1
R10740	1.14.20.-		1.14.20
R10741	1.14.20.-		1.14.20
R10742	1.14.20.-		1.14.20
R10745	2.3.1.-		2.3.1
R10746	2.3.1.-		2.3.1
R10747	3.6.1.-		3.6.1
R10748	3.1.3.-		3.1.3
R10751	2.8.2.-		2.8.2
R10752	3.5.1.-		3.5.1
R10758	6.2.1.56	4-hydroxybutyrate---CoA ligase (ADP-forming)	6.2.1
R10760	4.1.2.57	sulfofructosephosphate aldolase	4.1.2
R10762	4.2.3.145	ophiobolin F synthase	4.2.3
R10763	4.2.3.146	cyclooctat-9-en-7-ol synthase	4.2.3
R10764	5.1.3.29	L-fucose mutarotase	5.1.3
R10765	5.3.1.31	sulfoquinovose isomerase	5.3.1
R10767	6.1.2.2	nebramycin 5' synthase	6.1.2
R10768	6.1.2.2	nebramycin 5' synthase	6.1.2
R10769	6.2.1.41	3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoate---CoA ligase	6.2.1
R10770	6.2.1.42	3-oxocholest-4-en-26-oate---CoA ligase	6.2.1
R10771	6.2.1.43	2-hydroxy-7-methoxy-5-methyl-1-naphthoate---CoA ligase	6.2.1
R10772	6.3.1.18	gamma-glutamylanilide synthase	6.3.1
R10773	4.3.1.9	glucosaminate ammonia-lyase	4.3.1
R10774	4.3.1.9	glucosaminate ammonia-lyase	4.3.1
R10775	4.3.1.9	glucosaminate ammonia-lyase	4.3.1
R10777	3.5.2.1	barbiturase	3.5.2
R10778	3.5.1.95	N-malonylurea hydrolase	3.5.1
R10779	2.7.1.185	mevalonate 3-kinase	2.7.1
R10780	2.7.1.186	mevalonate-3-phosphate 5-kinase	2.7.1
R10781	4.1.1.110	bisphosphomevalonate decarboxylase	4.1.1
R10782	4.2.1.120	4-hydroxybutanoyl-CoA dehydratase	4.2.1
R10783	1.1.1.1	alcohol dehydrogenase	1.1.1
R10784	3.2.1.64	2,6-beta-fructan 6-levanbiohydrolase	3.2.1
R10785	1.1.1.374	UDP-N-acetylglucosamine 3-dehydrogenase	1.1.1
R10787	1.1.1.376	L-arabinose 1-dehydrogenase [NAD(P)+]	1.1.1
R10788	1.1.1.377	L-rhamnose 1-dehydrogenase (NADP+)	1.1.1
R10788	1.1.1.378	L-rhamnose 1-dehydrogenase [NAD(P)+]	1.1.1
R10789	1.14.13.195	L-ornithine N5-monooxygenase (NADPH)	1.14.13
R10789	1.14.13.196	L-ornithine N5-monooxygenase [NAD(P)H]	1.14.13
R10790	1.14.13.196	L-ornithine N5-monooxygenase [NAD(P)H]	1.14.13
R10792	1.14.14.124	dihydromonacolin L hydroxylase	1.14.14
R10797	1.17.98.3	formate dehydrogenase (coenzyme F420)	1.17.98
R10798	1.3.1.107	sanguinarine reductase	1.3.1
R10799	1.3.1.107	sanguinarine reductase	1.3.1
R10800	1.3.1.107	sanguinarine reductase	1.3.1
R10801	1.3.1.107	sanguinarine reductase	1.3.1
R10803	1.8.98.3	sulfite reductase (coenzyme F420)	1.8.98
R10809	3.2.1.163	1,6-alpha-D-mannosidase	3.2.1
R10810	5.1.3.11	cellobiose epimerase	5.1.3
R10811	2.4.1.319	beta-1,4-mannooligosaccharide phosphorylase	2.4.1
R10813	2.7.7.6	DNA-directed RNA polymerase	2.7.7
R10817	5.1.3.30	D-psicose 3-epimerase	5.1.3
R10817	5.1.3.31	D-tagatose 3-epimerase	5.1.3
R10818	5.1.3.31	D-tagatose 3-epimerase	5.1.3
R10819	5.1.3.32	L-rhamnose mutarotase	5.1.3
R10820	6.2.1.44	3-(methylthio)propionyl---CoA ligase	6.2.1
R10821	6.3.2.44	pantoate---beta-alanine ligase (ADP-forming)	6.3.2
R10822	6.5.1.7	DNA ligase (ATP, ADP or GTP)	6.5.1
R10823	6.5.1.7	DNA ligase (ATP, ADP or GTP)	6.5.1
R10824	2.1.1.42	flavone 3'-O-methyltransferase	2.1.1
R10829	2.4.1.320	1,4-beta-mannosyl-N-acetylglucosamine phosphorylase	2.4.1
R10832	2.4.1.321	cellobionic acid phosphorylase	2.4.1
R10833	2.4.1.322	devancosaminyl-vancomycin vancosaminetransferase	2.4.1
R10834	2.4.1.323	7-deoxyloganetic acid glucosyltransferase	2.4.1
R10835	2.4.1.324	7-deoxyloganetin glucosyltransferase	2.4.1
R10836	2.4.2.57	AMP phosphorylase	2.4.2
R10837	2.4.2.57	AMP phosphorylase	2.4.2
R10838	2.4.2.57	AMP phosphorylase	2.4.2
R10839	2.5.1.118	beta-(isoxazolin-5-on-2-yl)-L-alanine synthase	2.5.1
R10840	2.5.1.119	beta-(isoxazolin-5-on-4-yl)-L-alanine synthase	2.5.1
R10841	1.1.1.203	uronate dehydrogenase	1.1.1
R10842	1.1.1.203	uronate dehydrogenase	1.1.1
R10843	1.13.11.84	crocetin dialdehyde synthase	1.13.11
R10844	1.13.11.84	crocetin dialdehyde synthase	1.13.11
R10845	2.6.1.57	aromatic-amino-acid transaminase	2.6.1
R10845	2.6.1.107	beta-methylphenylalanine transaminase	2.6.1
R10846	5.4.1.4	D-galactarolactone isomerase	5.4.1
R10847	5.5.1.27	D-galactarolactone cycloisomerase	5.5.1
R10848	1.1.1.380	L-gulonate 5-dehydrogenase	1.1.1
R10851	1.1.1.381	3-hydroxy acid dehydrogenase	1.1.1
R10852	1.1.1.381	3-hydroxy acid dehydrogenase	1.1.1
R10853	1.1.3.47	5-(hydroxymethyl)furfural oxidase	1.1.3
R10854	1.1.3.47	5-(hydroxymethyl)furfural oxidase	1.1.3
R10855	1.1.3.47	5-(hydroxymethyl)furfural oxidase	1.1.3
R10856	1.1.3.47	5-(hydroxymethyl)furfural oxidase	1.1.3
R10857	1.1.3.47	5-(hydroxymethyl)furfural oxidase	1.1.3
R10858	1.1.3.47	5-(hydroxymethyl)furfural oxidase	1.1.3
R10860	1.2.1.90	glyceraldehyde-3-phosphate dehydrogenase [NAD(P)+]	1.2.1
R10861	1.2.1.92	3,6-anhydro-alpha-L-galactose dehydrogenase	1.2.1
R10862	1.2.1.92	3,6-anhydro-alpha-L-galactose dehydrogenase	1.2.1
R10867	3.2.1.180	unsaturated chondroitin disaccharide hydrolase	3.2.1
R10874	2.4.1.-		2.4.1
R10875	1.14.13.-		1.14.13
R10876	2.4.1.-		2.4.1
R10877	1.14.13.-		1.14.13
R10878	1.14.13.-		1.14.13
R10879	1.14.13.-		1.14.13
R10881	2.5.1.38	isonocardicin synthase	2.5.1
R10882	1.14.13.-		1.14.13
R10883	5.1.1.14	nocardicin A epimerase	5.1.1
R10887	4.1.1.-		4.1.1
R10891	3.4.-.-		3.4.-
R10892	6.3.2.-		6.3.2
R10893	2.3.1.-		2.3.1
R10896	4.2.3.148	cembrene C synthase	4.2.3
R10897	4.2.3.149	nephthenol synthase	4.2.3
R10898	4.2.3.150	cembrene A synthase	4.2.3
R10899	4.2.3.151	pentamethylcyclopentadecatrienol synthase	4.2.3
R10900	5.5.1.25	3,6-anhydro-L-galactonate cycloisomerase	5.5.1
R10901	6.3.2.45	UDP-N-acetylmuramate---L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptanedioate ligase	6.3.2
R10902	6.3.4.24	tyramine---L-glutamate ligase	6.3.4
R10904	2.8.3.26	succinyl-CoA:mesaconate CoA transferase	2.8.3
R10907	1.1.1.363	glucose-6-phosphate dehydrogenase [NAD(P)+]	1.1.1
R10907	1.1.1.388	glucose-6-phosphate dehydrogenase (NAD+)	1.1.1
R10908	2.6.1.112	(S)-ureidoglycine---glyoxylate transaminase	2.6.1
R10909	2.7.7.84	2'-5' oligoadenylate synthase	2.7.7
R10910	2.7.7.84	2'-5' oligoadenylate synthase	2.7.7
R10913	1.7.3.6	hydroxylamine oxidase (cytochrome)	1.7.3
R10914	1.7.3.6	hydroxylamine oxidase (cytochrome)	1.7.3
R10915	1.11.1.19	dye decolorizing peroxidase	1.11.1
R10916	1.1.1.382	ketol-acid reductoisomerase (NAD+)	1.1.1
R10916	1.1.1.383	ketol-acid reductoisomerase [NAD(P)+]	1.1.1
R10917	1.1.1.385	dihydroanticapsin dehydrogenase	1.1.1
R10918	1.1.1.386	ipsdienol dehydrogenase	1.1.1
R10919	1.1.1.386	ipsdienol dehydrogenase	1.1.1
R10920	1.14.11.48	xanthine dioxygenase	1.14.11
R10934	4.1.1.100	prephenate decarboxylase	4.1.1
R10935	4.2.3.153	(5-formylfuran-3-yl)methyl phosphate synthase	4.2.3
R10936	4.2.1.155	(methylthio)acryloyl-CoA hydratase	4.2.1
R10937	4.2.3.152	2-epi-5-epi-valiolone synthase	4.2.3
R10938	5.1.1.20	L-Ala-D/L-Glu epimerase	5.1.1
R10939	5.3.1.32	(4S)-4-hydroxy-5-phosphooxypentane-2,3-dione isomerase	5.3.1
R10940	6.3.2.46	fumarate---(S)-2,3-diaminopropanoate ligase	6.3.2
R10941	6.3.2.47	dapdiamide synthase	6.3.2
R10942	6.3.2.47	dapdiamide synthase	6.3.2
R10943	6.3.2.47	dapdiamide synthase	6.3.2
R10944	6.3.2.47	dapdiamide synthase	6.3.2
R10945	4.2.1.155	(methylthio)acryloyl-CoA hydratase	4.2.1
R10946	4.2.1.155	(methylthio)acryloyl-CoA hydratase	4.2.1
R10947	4.2.1.155	(methylthio)acryloyl-CoA hydratase	4.2.1
R10948	6.3.5.5	carbamoyl-phosphate synthase (glutamine-hydrolysing)	6.3.5
R10949	6.3.5.5	carbamoyl-phosphate synthase (glutamine-hydrolysing)	6.3.5
R10950	3.1.3.66	phosphatidylinositol-3,4-bisphosphate 4-phosphatase	3.1.3
R10953	2.7.1.151	inositol-polyphosphate multikinase	2.7.1
R10954	1.14.13.200	tetracenomycin A2 monooxygenase-dioxygenase	1.14.13
R10955	2.4.1.331	8-demethyltetracenomycin C L-rhamnosyltransferase	2.4.1
R10956	2.1.1.305	8-demethyl-8-alpha-L-rhamnosyltetracenomycin-C 2'-O-methyltransferase	2.1.1
R10957	2.1.1.306	8-demethyl-8-(2-methoxy-alpha-L-rhamnosyl)tetracenomycin-C 3'-O-methyltransferase	2.1.1
R10958	2.1.1.307	8-demethyl-8-(2,3-dimethoxy-alpha-L-rhamnosyl)tetracenomycin-C 4'-O-methyltransferase	2.1.1
R10959	2.1.1.-		2.1.1
R10960	2.3.1.235	tetracenomycin F2 synthase	2.3.1
R10962	2.1.1.302	3-hydroxy-5-methyl-1-naphthoate 3-O-methyltransferase	2.1.1
R10963	2.1.1.303	2,7-dihydroxy-5-methyl-1-naphthoate 7-O-methyltransferase	2.1.1
R10964	2.1.1.304	L-tyrosine C3-methyltransferase	2.1.1
R10965	2.3.1.233	1,3,6,8-tetrahydroxynaphthalene synthase	2.3.1
R10966	2.5.1.121	5,10-dihydrophenazine-1-carboxylate 9-dimethylallyltransferase	2.5.1
R10967	2.3.1.253	phloroglucinol synthase	2.3.1
R10968	2.5.1.122	4-O-dimethylallyl-L-tyrosine synthase	2.5.1
R10969	2.5.1.123	flaviolin linalyltransferase	2.5.1
R10970	2.7.1.184	sulfofructose kinase	2.7.1
R10971	2.8.2.37	trehalose 2-sulfotransferase	2.8.2
R10972	3.1.4.57	phosphoribosyl 1,2-cyclic phosphate 1,2-diphosphodiesterase	3.1.4
R10973	3.1.4.57	phosphoribosyl 1,2-cyclic phosphate 1,2-diphosphodiesterase	3.1.4
R10974	3.13.1.4	3-sulfinopropanoyl-CoA desulfinase	3.13.1
R10975	3.5.1.46	6-aminohexanoate-oligomer exohydrolase	3.5.1
R10980	3.1.1.-		3.1.1
R10981	1.1.1.-		1.1.1
R10982	1.2.1.-		1.2.1
R10983	3.1.1.59	juvenile-hormone esterase	3.1.1
R10984	1.1.1.276	serine 3-dehydrogenase (NADP+)	1.1.1
R10985	1.1.1.387	L-serine 3-dehydrogenase (NAD+)	1.1.1
R10986	1.1.1.387	L-serine 3-dehydrogenase (NAD+)	1.1.1
R10987	2.4.1.329	sucrose 6F-phosphate phosphorylase	2.4.1
R10988	2.4.1.330	beta-D-glucosyl crocetin beta-1,6-glucosyltransferase	2.4.1
R10989	2.4.1.330	beta-D-glucosyl crocetin beta-1,6-glucosyltransferase	2.4.1
R10990	2.4.1.330	beta-D-glucosyl crocetin beta-1,6-glucosyltransferase	2.4.1
R10991	2.6.1.42	branched-chain-amino-acid transaminase	2.6.1
R10992	2.6.1.44	alanine---glyoxylate transaminase	2.6.1
R10993	6.3.2.2	glutamate---cysteine ligase	6.3.2
R10994	6.3.2.3	glutathione synthase	6.3.2
R10995	1.1.1.378	L-rhamnose 1-dehydrogenase [NAD(P)+]	1.1.1
R10996	1.2.4.4	3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring)	1.2.4
R11007	1.14.19.21	cholesterol 7-desaturase	1.14.19
R11008	1.14.19.21	cholesterol 7-desaturase	1.14.19
R11013	1.14.99.50	gamma-glutamyl hercynylcysteine S-oxide synthase	1.14.99
R11014	1.14.99.51	hercynylcysteine S-oxide synthase	1.14.99
R11015	1.14.99.52	L-cysteinyl-L-histidinylsulfoxide synthase	1.14.99
R11017	1.4.99.6	D-arginine dehydrogenase	1.4.99
R11019	1.5.1.50	dihydromonapterin reductase	1.5.1
R11020	2.1.1.-		2.1.1
R11021	3.5.1.118	gamma-glutamyl hercynylcysteine S-oxide hydrolase	3.5.1
R11024	2.7.1.221	N-acetylmuramate 1-kinase	2.7.1
R11025	2.7.7.99	N-acetyl-alpha-D-muramate 1-phosphate uridylyltransferase	2.7.7
R11026	1.3.1.1	dihydropyrimidine dehydrogenase (NAD+)	1.3.1
R11031	1.4.1.25	L-arginine dehydrogenase	1.4.1
R11032	1.4.1.25	L-arginine dehydrogenase	1.4.1
R11034	4.2.1.159	dTDP-4-dehydro-6-deoxy-alpha-D-glucopyranose 2,3-dehydratase	4.2.1
R11035	1.1.1.389	2-dehydro-3-deoxy-L-galactonate 5-dehydrogenase	1.1.1
R11036	1.1.1.390	sulfoquinovose 1-dehydrogenase	1.1.1
R11037	1.13.11.81	7,8-dihydroneopterin oxygenase	1.13.11
R11038	2.6.1.108	(5-formylfuran-3-yl)methyl phosphate transaminase	2.6.1
R11039	2.7.4.31	[5-(aminomethyl)furan-3-yl]methyl phosphate kinase	2.7.4
R11040	2.5.1.131	(4-{4-[2-(gamma-L-glutamylamino)ethyl]phenoxymethyl}furan-2-yl)methanamine synthase	2.5.1
R11041	2.1.1.-		2.1.1
R11045	2.1.1.-		2.1.1
R11046	5.1.3.-		5.1.3
R11048	1.5.3.5	(S)-6-hydroxynicotine oxidase	1.5.3
R11049	1.5.3.5	(S)-6-hydroxynicotine oxidase	1.5.3
R11049	1.5.3.6	(R)-6-hydroxynicotine oxidase	1.5.3
R11050	1.5.3.6	(R)-6-hydroxynicotine oxidase	1.5.3
R11051	1.1.1.-		1.1.1
R11052	1.13.11.82	8'-apo-carotenoid 13,14-cleaving dioxygenase	1.13.11
R11053	1.14.11.49	uridine-5'-phosphate dioxygenase	1.14.11
R11056	1.14.13.209	salicyloyl-CoA 5-hydroxylase	1.14.13
R11061	1.6.5.12	demethylphylloquinone reductase	1.6.5
R11063	2.1.1.10	homocysteine S-methyltransferase	2.1.1
R11064	6.3.2.49	L-alanine---L-anticapsin ligase	6.3.2
R11065	5.3.3.19	3-[(4R)-4-hydroxycyclohexa-1,5-dien-1-yl]-2-oxopropanoate isomerase	5.3.3
R11070	4.1.1.102	phenacrylate decarboxylase	4.1.1
R11071	4.1.1.102	phenacrylate decarboxylase	4.1.1
R11072	4.2.1.160	2,5-diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one isomerase/dehydratase	4.2.1
R11073	5.1.99.8	7,8-dihydroneopterin epimerase	5.1.99
R11074	4.1.1.101	malolactic enzyme	4.1.1
R11075	4.2.1.156	L-talarate dehydratase	4.2.1
R11076	4.2.1.157	(R)-2-hydroxyisocaproyl-CoA dehydratase	4.2.1
R11077	4.2.1.158	galactarate dehydratase (D-threo-forming)	4.2.1
R11078	5.1.1.21	isoleucine 2-epimerase	5.1.1
R11079	5.1.3.33	2-epi-5-epi-valiolone epimerase	5.1.3
R11081	5.1.3.35	2-epi-5-epi-valiolone 7-phosphate 2-epimerase	5.1.3
R11082	5.1.99.7	dihydroneopterin triphosphate 2'-epimerase	5.1.99
R11083	5.5.1.27	D-galactarolactone cycloisomerase	5.5.1
R11086	2.5.1.124	6-linalyl-2-O,3-dimethylflaviolin synthase	2.5.1
R11087	2.5.1.125	7-geranyloxy-5-hydroxy-2-methoxy-3-methylnaphthalene-1,4-dione synthase	2.5.1
R11088	2.5.1.126	norspermine synthase	2.5.1
R11089	2.5.1.127	caldopentamine synthase	2.5.1
R11094	3.5.4.41	5'-deoxyadenosine deaminase	3.5.4
R11096	1.3.1.-		1.3.1
R11097	1.14.19.41	sterol 22-desaturase	1.14.19
R11098	3.5.99.10	2-iminobutanoate/2-iminopropanoate deaminase	3.5.99
R11098	4.3.1.19	threonine ammonia-lyase	4.3.1
R11099	3.5.99.10	2-iminobutanoate/2-iminopropanoate deaminase	3.5.99
R11099	4.3.1.17	L-serine ammonia-lyase	4.3.1
R11100	4.3.1.17	L-serine ammonia-lyase	4.3.1
R11101	4.3.1.19	threonine ammonia-lyase	4.3.1
R11102	2.4.2.54	beta-ribofuranosylphenol 5'-phosphate synthase	2.4.2
R11103	2.3.2.28	L-allo-isoleucyltransferase	2.3.2
R11104	3.6.1.22	NAD+ diphosphatase	3.6.1
R11106	1.14.19.-		1.14.19
R11107	1.14.13.-		1.14.13
R11119	1.4.3.-		1.4.3
R11121	1.13.12.-		1.13.12
R11122	2.4.-.-		2.4.-
R11124	2.3.1.236	5-methylnaphthoic acid synthase	2.3.1
R11125	2.3.1.237	neocarzinostatin naphthoate synthase	2.3.1
R11127	2.4.1.332	1,2-alpha-glucosylglycerol phosphorylase	2.4.1
R11130	1.3.8.-		1.3.8
R11132	1.14.13.224	violacein synthase	1.14.13
R11134	1.14.13.217	protodeoxyviolaceinate monooxygenase	1.14.13
R11135	1.14.13.224	violacein synthase	1.14.13
R11141	2.2.1.12	3-acetyloctanal synthase	2.2.1
R11144	1.1.1.391	3beta-hydroxycholanate 3-dehydrogenase (NAD+)	1.1.1
R11145	1.1.1.392	3alpha-hydroxycholanate dehydrogenase (NADP+)	1.1.1
R11146	1.1.1.393	3beta-hydroxycholanate 3-dehydrogenase (NADP+)	1.1.1
R11147	1.1.1.394	aurachin B dehydrogenase	1.1.1
R11148	1.1.1.394	aurachin B dehydrogenase	1.1.1
R11149	1.1.1.394	aurachin B dehydrogenase	1.1.1
R11150	1.14.13.210	4-methyl-5-nitrocatechol 5-monooxygenase	1.14.13
R11151	1.14.13.211	rifampicin monooxygenase	1.14.13
R11152	1.14.13.211	rifampicin monooxygenase	1.14.13
R11153	1.14.13.212	1,3,7-trimethyluric acid 5-monooxygenase	1.14.13
R11154	2.5.1.128	N4-bis(aminopropyl)spermidine synthase	2.5.1
R11155	1.14.13.215	protoasukamycin 4-monooxygenase	1.14.13
R11156	1.14.13.216	asperlicin C monooxygenase	1.14.13
R11157	1.14.13.216	asperlicin C monooxygenase	1.14.13
R11158	1.14.13.217	protodeoxyviolaceinate monooxygenase	1.14.13
R11159	2.5.1.128	N4-bis(aminopropyl)spermidine synthase	2.5.1
R11160	2.5.1.128	N4-bis(aminopropyl)spermidine synthase	2.5.1
R11161	1.14.14.21	dibenzothiophene monooxygenase	1.14.14
R11162	1.14.14.21	dibenzothiophene monooxygenase	1.14.14
R11163	1.14.14.21	dibenzothiophene monooxygenase	1.14.14
R11164	1.14.14.22	dibenzothiophene sulfone monooxygenase	1.14.14
R11165	2.1.1.314	diphthine methyl ester synthase	2.1.1
R11173	3.1.3.73	adenosylcobalamin/alpha-ribazole phosphatase	3.1.3
R11174	2.7.8.26	adenosylcobinamide-GDP ribazoletransferase	2.7.8
R11175	1.5.3.-		1.5.3
R11176	1.5.3.-		1.5.3
R11177	1.5.3.-		1.5.3
R11180	3.1.3.96	pseudouridine 5'-phosphatase	3.1.3
R11181	3.5.2.20	isatin hydrolase	3.5.2
R11182	2.3.1.245	3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase	2.3.1
R11183	2.7.1.189	autoinducer-2 kinase	2.7.1
R11184	2.7.1.187	acarbose 7IV-phosphotransferase	2.7.1
R11185	2.7.1.188	2-epi-5-epi-valiolone 7-kinase	2.7.1
R11186	2.7.4.29	Kdo2-lipid A phosphotransferase	2.7.4
R11189	3.3.2.14	2,4-dinitroanisole O-demethylase	3.3.2
R11190	3.4.14.13	gamma-D-glutamyl-L-lysine dipeptidyl-peptidase	3.4.14
R11191	2.1.1.316	mitomycin 6-O-methyltransferase	2.1.1
R11192	2.1.1.316	mitomycin 6-O-methyltransferase	2.1.1
R11195	1.2.1.96	4-hydroxybenzaldehyde dehydrogenase (NADP+)	1.2.1
R11197	1.14.13.-		1.14.13
R11198	1.14.13.-		1.14.13
R11199	2.3.1.248	spermidine disinapoyl transferase	2.3.1
R11200	2.3.1.249	spermidine dicoumaroyl transferase	2.3.1
R11206	2.8.3.23	caffeate CoA-transferase	2.8.3
R11210	1.14.20.8	(-)-deoxypodophyllotoxin synthase	1.14.20
R11213	4.1.2.58	2-dehydro-3,6-dideoxy-6-sulfogluconate aldolase	4.1.2
R11214	4.2.1.162	6-deoxy-6-sulfo-D-gluconate dehydratase	4.2.1
R11215	4.2.99.23	tuliposide B-converting enzyme	4.2.99
R11219	2.1.1.319	type I protein arginine methyltransferase	2.1.1
R11220	2.1.1.320	type II protein arginine methyltransferase	2.1.1
R11225	2.5.1.129	flavin prenyltransferase	2.5.1
R11226	1.3.1.111	geranylgeranyl-bacteriochlorophyllide a reductase	1.3.1
R11228	1.14.15.17	pheophorbide a oxygenase	1.14.15
R11230	2.1.1.323	(-)-pluviatolide 4-O-methyltransferase	2.1.1
R11231	1.2.1.31	L-aminoadipate-semialdehyde dehydrogenase	1.2.1
R11232	1.2.1.31	L-aminoadipate-semialdehyde dehydrogenase	1.2.1
R11233	4.2.1.-		4.2.1
R11234	2.7.1.214	C7-cyclitol 7-kinase	2.7.1
R11240	3.1.3.101	validoxylamine A 7'-phosphate phosphatase	3.1.3
R11241	2.4.1.338	validoxylamine A glucosyltransferase	2.4.1
R11242	3.1.1.99	6-deoxy-6-sulfogluconolactonase	3.1.1
R11243	1.1.1.-		1.1.1
R11251	3.1.3.-		3.1.3
R11257	3.7.1.23	maleylpyruvate hydrolase	3.7.1
R11263	4.2.1.117	2-methylcitrate dehydratase (2-methyl-trans-aconitate forming)	4.2.1
R11264	5.3.3.-		5.3.3
R11265	1.1.1.-		1.1.1
R11266	1.1.1.-		1.1.1
R11267	1.1.3.-		1.1.3
R11268	1.1.3.-		1.1.3
R11269	2.6.1.94	2'-deamino-2'-hydroxyneamine transaminase	2.6.1
R11270	2.6.1.94	2'-deamino-2'-hydroxyneamine transaminase	2.6.1
R11271	2.4.1.301	2'-deamino-2'-hydroxyneamine 1-alpha-D-kanosaminyltransferase	2.4.1
R11272	2.4.1.301	2'-deamino-2'-hydroxyneamine 1-alpha-D-kanosaminyltransferase	2.4.1
R11273	1.1.3.-		1.1.3
R11276	1.1.1.-		1.1.1
R11277	1.1.1.-		1.1.1
R11278	2.4.1.-		2.4.1
R11279	6.1.2.2	nebramycin 5' synthase	6.1.2
R11280	2.4.2.-		2.4.2
R11281	3.1.3.-		3.1.3
R11282	2.4.1.-		2.4.1
R11283	3.5.1.-		3.5.1
R11284	1.1.3.-		1.1.3
R11285	2.6.1.-		2.6.1
R11286	5.1.3.-		5.1.3
R11288	5.1.3.-		5.1.3
R11289	2.4.2.-		2.4.2
R11290	1.1.1.-		1.1.1
R11291	2.6.1.-		2.6.1
R11292	2.1.1.-		2.1.1
R11297	2.6.1.-		2.6.1
R11298	2.6.1.-		2.6.1
R11299	2.6.1.-		2.6.1
R11306	2.4.1.245	alpha,alpha-trehalose synthase	2.4.1
R11310	5.4.2.6	beta-phosphoglucomutase	5.4.2
R11312	2.5.1.3	thiamine phosphate synthase	2.5.1
R11313	3.5.1.-		3.5.1
R11319	2.7.4.3	adenylate kinase	2.7.4
R11323	3.6.1.9	nucleotide diphosphatase	3.6.1
R11325	7.1.1.7	quinol oxidase (electrogenic, proton-motive force generating)	7.1.1
R11326	4.2.3.154	demethyl-4-deoxygadusol synthase	4.2.3
R11327	4.2.3.155	2-epi-valiolone synthase	4.2.3
R11328	4.3.1.31	L-tryptophan ammonia lyase	4.3.1
R11329	4.99.1.9	coproporphyrin ferrochelatase	4.99.1
R11330	5.1.3.38	D-erythrulose 1-phosphate 3-epimerase	5.1.3
R11332	5.3.1.33	L-erythrulose 1-phosphate isomerase	5.3.1
R11333	5.3.1.34	D-erythrulose 4-phosphate isomerase	5.3.1
R11334	5.4.99.64	2-hydroxyisobutanoyl-CoA mutase	5.4.99
R11335	7.1.1.3	ubiquinol oxidase (H+-transporting)	7.1.1
R11336	1.1.1.397	beta-methylindole-3-pyruvate reductase	1.1.1
R11337	1.1.1.399	2-oxoglutarate reductase	1.1.1
R11338	1.1.1.400	2-methyl-1,2-propanediol dehydrogenase	1.1.1
R11339	1.1.1.401	2-dehydro-3-deoxy-L-rhamnonate dehydrogenase (NAD+)	1.1.1
R11340	1.14.11.52	validamycin A dioxygenase	1.14.11
R11341	1.1.1.402	D-erythritol 1-phosphate dehydrogenase	1.1.1
R11342	1.1.1.403	D-threitol dehydrogenase (NAD+)	1.1.1
R11346	1.14.13.218	5-methylphenazine-1-carboxylate 1-monooxygenase	1.14.13
R11347	1.14.13.220	resorcinol 4-hydroxylase (NADH)	1.14.13
R11348	1.14.14.27	resorcinol 4-hydroxylase (FADH2)	1.14.14
R11350	1.2.1.98	2-hydroxy-2-methylpropanal dehydrogenase	1.2.1
R11351	1.2.3.15	(methyl)glyoxal oxidase	1.2.3
R11352	1.2.3.15	(methyl)glyoxal oxidase	1.2.3
R11353	4.1.1.103	gamma-resorcylate decarboxylase	4.1.1
R11363	1.14.-.-		1.14.-
R11364	2.1.1.-		2.1.1
R11366	5.4.3.6	tyrosine 2,3-aminomutase	5.4.3
R11370	6.2.1.-		6.2.1
R11371	2.1.1.-		2.1.1
